Type	Part Number	Brand	Model	Rank	Score	Samples	URL	Name	Codename	Cores	Socket	Process	Clock	Multi	Cache L1/L2/L3	TDP	Released	Price	
CPU		Intel	Pentium 4 2.40GHz	934	9.39	161	http://cpu.userbenchmark.com/SpeedTest/5589/--------------IntelR-PentiumR-4-CPU-240GHz												
CPU		Intel	Celeron 2.40GHz	935	9.23	15	http://cpu.userbenchmark.com/SpeedTest/708/----------------IntelR-CeleronR-CPU-240GHz												
CPU		Intel	Celeron D 3.06GHz	936	9.06	98	http://cpu.userbenchmark.com/SpeedTest/13158/IntelR-CeleronR-D-CPU-306GHz												
CPU		Intel	Celeron 2.53GHz	937	9.03	9	http://cpu.userbenchmark.com/SpeedTest/4852/----------------IntelR-CeleronR-CPU-253GHz												
CPU		Intel	575	938	8.93	116	http://cpu.userbenchmark.com/SpeedTest/4105/Genuine-IntelR-CPU-------------575----200GHz	A10-5750M	Richland	4 	AMD Socket FS1r2	32 nm	2500&nbsp;MHz	25.0x	128K / 1024K / 0K	35W	Jun 2013	3399	
CPU		AMD	Sempron 3000+	939	8.93	132	http://cpu.userbenchmark.com/SpeedTest/3648/AMD-Semprontm-Processor-3000-	Sempron 3000+	Manila	1 	AMD Socket AM2	90 nm	1600&nbsp;MHz	8.0x	128K / 256K / 0K	62W	May 2006		
CPU		Intel	Core2 Duo L7100	940	8.51	42	http://cpu.userbenchmark.com/SpeedTest/5778/IntelR-CoreTM2-Duo-CPU-----L7100----120GHz												
CPU		AMD	Athlon XP 2800+	941	8.49	9	http://cpu.userbenchmark.com/SpeedTest/1789/AMD-Athlontm-XP-2800-	Athlon XP 2800+	Thoroughbred	1 	AMD Socket A	130 nm	2250&nbsp;MHz	13.5x	128K / 256K / 0K	74W	Oct 2002		
CPU		Intel	Atom D2700	942	8.41	58	http://cpu.userbenchmark.com/SpeedTest/7623/IntelR-AtomTM-CPU-D2700-----213GHz	Atom D2700	Cedarview	2  / 4	Intel BGA 437	32 nm	2133&nbsp;MHz	18.0x	64K / 512K / 0K	10W	Nov 2011	499	
CPU		AMD	Sempron 2800+	943	8.35	88	http://cpu.userbenchmark.com/SpeedTest/4755/AMD-Semprontm-Processor-2800-	Sempron 2800+	Manila	1 	AMD Socket AM2	90 nm	1600&nbsp;MHz	8.0x	128K / 128K / 0K	62W	May 2006	279	
CPU		AMD	E1-1200 APU	944	8.21	1303	http://cpu.userbenchmark.com/SpeedTest/2118/AMD-E1-1200-APU-with-Radeontm-HD-Graphics												
CPU		AMD	Athlon 2650e	945	7.94	59	http://cpu.userbenchmark.com/SpeedTest/4742/AMD-Athlontm-Processor-2650e	Athlon 64 2650e	Lima	1 	AMD Socket AM2	65 nm	1600&nbsp;MHz	8.0x	128K / 512K / 0K	15W	Jan 2009		
